,articles
35,"A leading-edge research firm focused on digital transformation. 
            Good
            
 
Subscriber
Account active
            since
            
 Free subscriber-exclusive audiobook! “No Rules Rules: Netflix and the Culture of Reinvention” Get it now on Libro.fm using the button below. Before Garry Tan had the Midas touch, he was Jen Wolf's intern. Since then, the tables have turned a bit. For the past five years, Wolf has worked at Initialized Capital, the venture firm started by Tan, as head of operations. This week, she was promoted to president, the company told Insider. Wolf is one of the few women to hold such a position in the male-dominated world of venture capital. Partners who can write checks at venture firms are 86% male, according to All Raise, a nonprofit dedicated to diversity in startup founders and funders. At Initialized, women including Wolf make up half of the six-person senior investment team. Wolf, a former web developer, has hired Tan twice over the years. First, she hired him as an intern at a design firm building early e-commerce websites for brands including Apple, Patagonia, and Nordstrom. She then hired him at a software startup, but he left the role after just a few months because he was accepted into a new program that promised funding for his blogging startup, Posterous. ""This was very early Y Combinator, it was like the second batch. I had never really heard of them,"" Wolf recalled. ""And I was like, 'Hey, you're moving to Boston for six weeks, and they're only giving you $15,000 for 7% of your company. This seems like you might be getting ripped off. Are you OK?' I was like, 'Do you have money problems?"" Initialized is having a good year with Coinbase's IPO already in the bag. Tan wrote one of the first checks for the cryptocurrency exchange, and the firm's seed investment had a return of more than 2,200 times. Other unicorn startups in Initialized's portfolio including Instacart and 
                          
Patreon
 are expected to go public sometime this year. Founded in 2011, the firm is part of a crowded mix of investors chasing startups at the seed stage, where they take the biggest risks in search of the biggest rewards. In the past year, large firms that typically invest in later stages have moved into seed-investing territory, offering term sheets with huge valuations for young companies, in the hopes of squeezing out rival firms. Initialized's strategy for winning deals is to fill its ranks with operators who have more to offer founders than just capital. Each partner has a skillset that is useful for company-building. For example, Wolf has a product and design background, while Kim-Mai Cutler is a former journalist and Alda Leu Dennis worked as a lawyer for nine years. The partners decide as a group whether or not to invest in a company, and any one of them may be called upon to parachute into the startup when the founders have a problem that's relevant to their subject-matter expertise.  ""Jen is the one who makes things happen,"" Cutler told Insider. ""She is very methodical and thoughtful about processes and that pairs well with Garry's more agile approach. We can move fast but everything is very well coordinated."" Wolf sits on the board of database-software startup Narrator, but she spends most of her energy on running the Initialized organization. She's currently hiring a principal and a partner, which she hopes to fill with a candidate from a talent, growth-performance marketing, or technical background. But she said that's not a requirement for the role. ""It's sort of like a startup here,"" Wolf said. ""Garry's still the person who sets the vision and the culture of Initialized."" Her job is to figure out the process of ""how do we make that thing happen."" Are you a venture capital insider with insight to share? Contact Melia Russell via email at mrussell@insider.com or on Signal at (603) 913-3085. Open DMs on Twitter @meliarobin."
36,"A leading-edge research firm focused on digital transformation. 
            Good
            
 
Subscriber
Account active
            since
            
 Free subscriber-exclusive audiobook! “No Rules Rules: Netflix and the Culture of Reinvention” Get it now on Libro.fm using the button below. Hi, this is Amanda Perelli and welcome back to Insider Influencers, our weekly rundown on the business of influencers, creators, and social-media platforms. Sign up for the newsletter here. In this week's edition: Lori Loughlin's daughter Olivia Jade is rebuilding her influencer business How a podcasting duo built one of Patreon's highest-earning memberships Inside the launch of an influencer talent-management firm How much money a college TikTok star earns from brand deals And more including creator economy startup news and the wild gifts influencers have received from fans. Send tips to aperelli@insider.com or DM me on Twitter at @arperelli. Olivia Jade Giannulli's influencer comeback is in full swing. In recent months, she has begun to regularly post on social media, work with brands, and do affiliate marketing. Her rebound comes two years after her parents, Lori Loughlin and Mossimo Giannulli, were first indicted on charges of conspiracy and fraud related to the infamous college-admissions scandal. When the headlines broke in 2019, Olivia Jade was already an established influencer with over one million followers on YouTube and Instagram. But as the scandal grew, her influencer career was derailed as brands like Sephora and Amazon dropped her. Sydney Bradley broke down how Olivia Jade is rebuilding her influencer business: Her influencer comeback began in earnest in December 2020, when she spoke publicly about the scandal for the first time on an episode of ""Red Table Talk."" Olivia Jade has shared links to products using affiliate links from the platform RewardStyle. Recently, she has posted sponsored content with the brands Revice Denim and White Fox Boutique (she said she was donating an unspecified amount of money from this partnership). While Olivia Jade's influencer business is rebounding, she has yet to work with brands as prominent as Sephora and Amazon again. Check out the full story inside Olivia Jade's influencer comeback, here. Podcast hosts Patrick Hinds and Gillian Pensavalle's 
                          
Patreon
 has over 44,000 paying members. It's one of the top 10 earners on the platform, Patreon said. I wrote about how they earn money and how they got started on Patreon: Hinds and Pensavalle promote the Patreon membership within their ad-supported episodes, which are available for free on Spotify and Apple Podcasts.  They offer a variety of exclusive ad-free content on Patreon, including videos, chats, and livestreams for paying members.  Their membership has four tiers, ranging for $5 to $20 per month.  ""Podcasting is just exploding right now and we are seeing that on our platform,"" said Julian Gutman, ‎Patreon's chief product officer. Check out the full story on how to use Patreon to make money from podcasting, here. Annelise Campbell quit her job as a marketer to build an agency focused on diversity and inclusion.  Campbell launched CFG, an influencer-marketing and talent-management firm, at the end of 2019. CFG now represents 30 influencers and Campbell describes the management firm as ""deliberately diverse, intentionally inclusive."" Sydney wrote about how Campbell launched the business: Campbell manages her clients' invoicing, content schedules, and makes sure that they are on track to meet their revenue goals Early on, she hired a freelance lawyer to review the contracts. Last year, Campbell reached out to agencies and asked how her influencers could help them create content while production facilities were closed during the pandemic. CFG's roster is made up of creators of color many of whom are ""micro"" influencers, a category of influencers who typically have under 100,000 followers. Read more about launching a talent management firm, here. Gohar Khan set up his TikTok account, @goharsguide, in September to help students apply to college.  He now has more than 880,000 followers, and has earned around $3,500 from brand deals. Khan has worked with brands such as the study-tools company Quizlet and the scholarship program Rise. Molly Innes wrote about how he works with brands and how TikTok has boosted his consulting business: He charges $500 for a single promotional video on TikTok. TikTok has also helped promote his college-student consulting startup, which employs about a dozen student consultants.  ""Every day I get a lot of DMs on Instagram and a ton of emails from different companies trying to sponsor me,"" Khan said. ""The last thing I want is to advertise something to my viewers that I don't truly believe in."" Read more about his creator business as a college influencer, here. How a New York retailer uses a Snapchat-meets-QVC livestreaming app to make $1,000 in 4 hours (Jennifer Ortakales Dawkins) Mark Cuban explains how NFTs could provide new revenue streams for small businesses and creators (Dominick Reuter and Emily Canal) A day in the life of a 28-year-old ad agency staffer who gets paid to spend up to 40 hours a week playing video games (Molly Innes) Fake thongs, spicy peppers, and antique dolls: Influencers reveal the wild gifts they've received from fans and brands (Dan Whateley) Maven, an online-course platform for creators, raised $20 million in a Series A round led by Andreessen Horowitz. The company hosts classes and workshops from influencer industry experts like Atelier Ventures' Li Jin and entrepreneur and Instagram influencer Louise Thompson. Enrollees pay a flat fee to take courses at the same time as other students. The company said four courses on its platform have earned more than $100,000 since it launched three months ago. Every week, Insider gives a rundown of news on hires, promotions, and other creator company announcements. This week includes updates at Loaded, Jellysmack, and Facebook. Read the full rundown of creator industry moves, here. Instagram will host a week of virtual programs from June 8 to 10, called Creator Week. The event is designed to help creators build their careers and connect them with their peers. Starting June 1, YouTube may place ads and earn money off videos that are not in its partnership program outside of the US. Pinterest launched a video feature called ""Idea Pins,"" which allows creators to record and edit videos, and offers tools like voiceover recording, background music, and transitions. TikTok is where trends often start in 2021. Every week we highlight a trending hashtag on TikTok, according to data provided by Kyra IQ. This week's top hashtag: #buildabish The percentage uptick for the last 7 days: 1,635%. This trend is centered around TikTok star Bella Poarch's new song, ""Build a Bitch."" Poarch has 68 million followers on TikTok, and she is known for her viral lip-syncing video to the song ""M to the B,"" which has 604 million views.  Colleen Ballinger has been a top YouTuber for the last decade. Videos from her ""Miranda Sings"" channel and her own personal channels have earned billions of views. Insider reporters Rachel E. Greenspan and Moises Mendez II wrote about Ballinger's rise to fame. Recently, she has garnered backlash online for using AAVE, or African-American Vernacular English, when she joked about ""Gen-Z slang."" Read more about Ballinger's rise to fame online, here.  More on digital culture:  An esports player has been suspended from professional play for 6 months following sexual-abuse allegations. JoJo Siwa endorsed a petition to rename Reagan National Airport in her honor instead of the former president's. TikTok catapulted a song from the Nickelodeon cartoon ""The Backyardigans"" to the top of a Spotify chart. Brands and influencers are calling for credit to be given to the Black skin-care experts (Liz Flora, from Glossy) Travel influencers used to have the dream job. Where will they go next? (Angela Lashbrook, from Refinery29) Facebook launches ""Live Shopping Fridays"" for beauty and fashion brands (Adriana Lee, from WWD)  Do you feel like you're friends with the celebrities or influencers you follow online? (Nicole Daniels, from NYT Opinion)"
37,"A leading-edge research firm focused on digital transformation. 
            Good
            
 
Subscriber
Account active
            since
            
 Free subscriber-exclusive audiobook! “No Rules Rules: Netflix and the Culture of Reinvention” Get it now on Libro.fm using the button below. Zhang Yiming, the millennial chief exec of TikTok parent company ByteDance, is to step away from the top job and hand the role over to cofounder and college friend Liang Rubo. The move is an unusual one. Under Zhang's watch, TikTok's popularity has helped drive ByteDance to a reported valuation of $250 billion. Zhang's own personal fortune is pegged by Bloomberg at $44 billion, making him the world's 30th-wealthiest person. And the ByteDance cofounder is relatively young at 38. He is the latest Chinese tech CEO to step down amid increasing pressure from the state for its most successful tech firms to stay in line.  But Zhang writes that he wants to focus on ""longer-term initiatives"" and step away from the ""day-to-day"" nitty gritty. ""I worry that I am still relying too much on the ideas I had before starting the company, and haven't challenged myself by updating those concepts,"" he says. Recently, several colleagues have asked me why I haven't updated my OKRs. Frankly, I feel I did not achieve as much as I had hoped to on my previous objectives in the areas of new strategic opportunities, organizational management, and social responsibility. Since the beginning of this year, I've spent a lot of time thinking about how to better drive real long-term breakthroughs, which cannot simply rely on steady, but incremental, progress. After several months of thinking about this, I came to the conclusion that transitioning out of the role of CEO, with all of the related day-to-day responsibilities, would enable me to have greater impact on longer-term initiatives. Let me explain how I came to this conclusion. Our success over the last nine years has been predicated upon our ability to innovate at just the right moment in the development of the industry. Notably, this has included applying machine learning to mobile and video products. Between graduating from college and starting ByteDance, I spent a lot of time thinking and learning about challenges like effectively disseminating information, using technology to improve products, and approaching the development of a company, much like one would a product: through constant re-evaluation, adjustment, and iteration. That period of profound thinking and ideation helped lay the groundwork for ByteDance. With our business growing well, it is time to think about how we can, not simply scale, but make innovative, meaningful, long-term progress towards our mission to ""Inspire Creativity, Enrich life."" Innovation and success are rooted in years of exploring and imagining what is possible. However, few people have real insight into the future, preferring to model on current and past achievements. People are amazed by the success of electric cars, but they forget that Tesla is 18 years old and first experimented with laptop batteries to power its vehicles. People know about Apple's software management tool HomeBrew, but few realize that computer geeks were discussing the Apple I in the HomeBrew Club in the 1970s. Virtual reality, life science, and scientific computation are playing a bigger role in people's lives as technology brings ever-greater impact to society. This type of progress requires us to break through the inertia, and to keep exploring. At our 7th anniversary, I shared a line from Alice in Wonderland: ""Why, sometimes I've believed as many as six impossible things before breakfast."" I like to think about possibilities that are still just that: possibilities. For a long time, I've put my online status as ""Daydreaming."" What I mean isn't that I'm zoning out, but rather that I'm thinking about possibilities that people might think are just fantasy. In the past three years, many things that seemed like fantasies have, in fact, become reality. Yet I worry that I am still relying too much on the ideas I had before starting the company, and haven't challenged myself by updating those concepts. As an example, before 2017, I spent a lot of time keeping track of developments in machine learning. However, since then, while I do my best to bookmark technical articles online, I haven't had the time to make much progress digging into the area. During technology meetings, this sometimes means I actually struggle to keep up with the discussion. Three years ago, I spoke with some entrepreneurs about the challenges of scaling a business. I said that often when companies mature and expand, many fall into the trap of the CEO becoming overly central — listening to presentations, handling approvals, and making decisions reactively. This leads to an over-reliance on existing ideas already in the company, and results in knowledge structures being slow to iterate. In order to avoid this trap, I gradually came to a decision over the last six months to take on a new role at ByteDance. I believe I can best challenge the limits of what the company can achieve over the next decade, and drive innovation, by drawing on my strengths of highly-focused learning, systematic thought, and a willingness to attempt new things. I also believe that giving back to society is an important piece of this, and we have already made some headway, exploring new initiatives in education, brain disease research and digitizing ancient books. Having been involved in some of these myself, I hope to do more by contributing my own ideas and helping deliver new solutions. At the same time, there are still many things that we need to improve, and I think someone else can better drive progress through areas like improved daily management. The truth is, I lack some of the skills that make an ideal manager. I'm more interested in analyzing organizational and market principles, and leveraging these theories to further reduce management work, rather than actually managing people. Similarly, I'm not very social, preferring solitary activities like being online, reading, listening to music, and daydreaming about what may be possible. In March, I began discussing with a small group the possibility of having Rubo, the co-founder of ByteDance, taking over as CEO, and leveraging his strengths in management, organization, and social engagement. The team was understanding and supported the idea. Rubo previously helped me found another company, so we have worked together closely for many years. As many of you know, Rubo has taken on numerous critical roles at ByteDance at different times, including head of R&D, Lark and Efficiency Engineering, and most recently, Human Resources and Management, as we've scaled up at an incredible rate globally. Since Day 1, Rubo has been an invaluable partner — completing my coding for new systems, buying and installing servers, and developing key recruitment and corporate policies and management systems, among a list of contributions too long to enumerate. Over the next six months we will work side by side to ensure the smoothest possible transition, and I know you will all also support him. A few years ago, I posted on social media: ""The meaning of travel lies in switching time and space, which helps you observe others' lives in a new environment as a stranger, and reflect on yourself and your life with a detached eye."" After handing over my role as CEO, and removing myself from the responsibilities of daily management, I will have the space to explore long-term strategies, organizational culture and social responsibility, with a more objective perspective on the company. In our 2012 business plan, I told the team that the most rewarding thing about building a company is being able to enjoy the journey together. I look forward to this new phase and continuing our voyage together! Yiming"
38,"A leading-edge research firm focused on digital transformation. 
            Good
            
 
Subscriber
Account active
            since
            
 Free subscriber-exclusive audiobook! “No Rules Rules: Netflix and the Culture of Reinvention” Get it now on Libro.fm using the button below. Following years of speculation and anticipation, Ford on Wednesday took the wraps off of its debut all-electric pickup truck: the F-150 Lightning.  The battery-powered version of America's favorite truck offers extra performance and some added functionality over its gas-powered siblings but comes in a familiar package. It'll go on sale in mid-2022 with a starting MSRP of $39,974 and is available to reserve now with a $100 deposit.  That $40,000 gets you a bare-bones work truck, while the cheapest consumer-oriented model — called the XLT — costs $52,974 and up. Pricing can stretch to $90,000 for customers who opt for a larger battery or a fancier Lariat or Platinum trim. More powerful than any F-150 in Ford's current lineup, the F-150 Lightning promises to churn out up to 563 horsepower and 775 lb-ft of torque when equipped with the optional larger battery. Extended-range models can also tow up to 10,000 pounds and hit 60 mph in four seconds and change. All Lightnings come with dual electric motors and four-wheel-drive.  The base model targets an EPA-estimated range of 230 miles, while the extended-range truck should be able to travel 300 miles on a full battery, Ford says. Both those figures will surely be greatly diminished when a heavy trailer or payload is added into the mix, but that shouldn't matter much to folks who buy trucks more for style than necessity.  Still, Ford understands this is something customers are concerned about, so it developed a real-time range calculator that tells drivers how far they can go based on factors like weather conditions, trailer weight, and how much stuff is in the bed. Ford says the F-150 Lightning can recoup from 15% to 80% battery in 41-44 minutes when plugged into a DC fast-charging station.  Read more: Ford's CEO reveals how it beat flashy electric-truck rivals to market with its upcoming $40,000 F-150 EV In the pursuit of making the F-150 Lightning ""distinct, but not different,"" Ford designed the truck to look pretty much the same as its combustion-engine models, inside and out. The most notable exterior differences are the Lightning's closed-off grille and LED light bars in front and rear.   The F-150 Lightning shares a cab with the rest of the 14th-generation F-150 lineup, so it offers the same cool options like a fold-out work surface and seats that recline to 180 degrees. But the F-150 Lightning also has some unique features.  For instance, the truck can power things like TVs, camping equipment, and tools through 11 outlets spread throughout the bed and interior. It also has the optional ability to feed power back into a customer's home in the event of a blackout. A massive frunk — the largest in the industry, Ford says — adds space for items customers can't fit in the back or cab.  Following the larger trend toward bigger and bigger screens in EVs, the Lightning gets a 15.5-inch center touchscreen on higher trims. As expected, the truck comes standard with many of Ford's latest tech features like a 360-degree camera, navigation, and compatibility with Apple CarPlay and Android Auto. BlueCruise, the company's advanced driver-assistance suite that allows for hands-free driving on some highways, is optional on Lariat models and comes standard on the Platinum trim. Ford will build the truck at its new Rouge Electric Vehicle Center in Dearborn, Michigan. It's a key step in the company's transition toward EV production and comes as part of a $29 billion investment in electric and autonomous vehicles through 2025. "
39,"A leading-edge research firm focused on digital transformation. 
            Good
            
 
Subscriber
Account active
            since
            
 Free subscriber-exclusive audiobook! “No Rules Rules: Netflix and the Culture of Reinvention” Get it now on Libro.fm using the button below. Apple's wireless AirPods are some of the most popular headphones in the world right now. However, they can be expensive — especially if you're looking for the new AirPods Max, which retails at nearly $550. With how popular AirPods are, you might think that Apple would include them with new iPhone purchases. However, while Apple does include some accessories, AirPods aren't part of that package. As the years have passed, Apple has slowly started including less and less accessories with new iPhone purchases. They do this both to cut down on packaging waste, and to encourage consumers to buy accessories separately. If you buy an iPhone from Apple, all you'll receive is the iPhone, a charging cable, and (usually) a SIM card ejector pin. You'll need to buy all of these items separately if you want them. And although any pair of 
                          
Bluetooth
 headphones will work with your iPhone, if you want to use non-Apple wired headphones, you'll likely need to buy a Lightning to 3.5mm adapter, which lets you plug a standard headphone jack into your charging port. Altogether, the cheapest pair of AirPods ($159), a charging adapter ($19), and a Lightning to 3.5mm adapter ($9) will cost around $190, not including tax or shipping. Important: All this information is true if you're buying your iPhone and accessories directly from Apple. If you're buying products from a third-party retailer or reseller, you might receive different prices or accessories. Dave Johnson contributed to a previous version of this article."
40,"Apple Inc Chief Executive Tim Cook on Friday took the witness stand to defend the App Store, a booming part of the iPhone maker’s business that “Fortnite” online game maker Epic Games says is a monopoly that Apple abuses. Cook is expected to spend more than two hours making what are likely to be his most extensive public remarks on the App Store, which anchors Apple’s $53.8 billion services business. Epic has waged a public relations and legal campaign, arguing that Apple acts anticompetitively by only allowing apps it approves on the world’s 1 billion iPhones and by forcing developers to use Apple’s in-app payment system, which charges commissions of up to 30% on sales. The antitrust trial at a federal courthouse in Oakland, California, comes as Apple faces a chorus of criticism from app makers including music service Spotify Technology and U.S. politicians who say the most valuable public U.S. company tries to squash small competition. Cook drank from a steel thermos while waiting in the courtroom gallery before being sworn in at 8:16 a.m. Pacific Time. Apple attorney Veronica Moye of Gibson Dunn began questioning Cook, asking what responsibilities he had over the App Store. Cook said his oversight of the App Store was “more on a review basis.” The maker of “Fortnite,” which pits players against in each other in an animated “Battle Royale” fight to the last survivor, is led by CEO Tim Sweeney, who has reveled in the public opportunity to take on Apple. Sweeney two weeks ago kicked off the trial as Epic’s first witness, using his time on the stand to argue that “Fortnite” has become a place for players to gather in a virtual world he calls the “metaverse” and that Apple is unfairly demanding an outsized cut of profits for providing simple payment processing technology. In the past, Cook fielded a handful of questions about the App Store while testifying before U.S. lawmakers last year, but he has stayed mostly silent as lawmakers grilled the chiefs of Alphabet Inc’s Google and Facebook Inc. Apple attorneys said they plan to ask him to testify about the company’s corporate values, how the App Store came about and Apple’s competitive landscape. Throughout the trial, Apple has sought to persuade Judge Yvonne Gonzalez Rogers that whatever rules it imposes on developers are aimed at keeping its customers’ information private and safe from malware. But Epic’s legal team has put other Apple executives under pressure during the three-week trial. During a cross-examination Thursday, Apple’s software chief Craig Federighi lashed out at an Epic attorney who did not allow him to explain the technical details of why Apple does not use automated tools to scan for some offensive content. The judge intervened to tell Federighi he would have to explain himself later when Apple’s lawyers resume questioning. Competition authorities in multiple countries have opened probes into the business, including a case in the European Union around Apple’s treatment of Spotify. In United States, lawmakers such as Senator Amy Klobuchar who are contemplating new antitrust laws are likely to comb through the records generated in the Epic case. “This case has always been part of a bigger narrative rather than something that’s going to decide the issue on its own,” said John Bergmayer, legal director at consumer advocacy group Public Knowledge. (Reporting by Stephen Nellis in San Francisco; editing by Peter Henderson, Richard Pullin and Richard Chang) Sign up to receive the daily top stories from the Financial Post, a division of Postmedia Network Inc. A welcome email is on its way. If you don't see it please check your junk folder. The next issue of Financial Post Top Stories will soon be in your inbox.  We encountered an issue signing you up. Please try again   Postmedia is committed to maintaining a lively but civil forum for discussion and encourage all readers to share their views on our articles. Comments may take up to an hour for moderation before appearing on the site. We ask you to keep your comments relevant and respectful. We have enabled email notifications—you will now receive an email if you receive a reply to your comment, there is an update to a comment thread you follow or if a user you follow comments. Visit our Community Guidelines for more information and details on how to adjust your email settings.  365 Bloor Street East, Toronto, Ontario, M4W 3L4  © 2021 Financial Post, a division of Postmedia Network Inc. All rights reserved. Unauthorized distribution, transmission or republication strictly prohibited.   This website uses cookies to personalize your content (including ads), and allows us to analyze our traffic. Read more about cookies here. By continuing to use our site, you agree to our Terms of Service and Privacy Policy. "
41,"Snap Inc said Friday it will acquire WaveOptics Ltd, a British augmented reality (AR) technology company, for over $500 million. The deal, first reported by The Verge and confirmed by a Snap spokesman, will help the owner of photo messaging app Snapchat push its way into a future where AR eyewear could be ubiquitous. Snap, along with other tech giants like Facebook Inc and Apple Inc, are racing to build AR devices as the next technological frontier after the smartphone. The vision behind AR eyewear is that it could allow a user to virtually see route directions in front of them, or see information about a landmark in their surroundings, for example. Snap said it will pay half the $500 million for WaveOptics in stock at closing, and the other half will be paid in either cash or stock in two years. Snap is based in Santa Monica, California, while WaveOptics is headquartered in Oxford, England. On Thursday, Snap unveiled a new version of its Spectacles glasses, the first to incorporate AR with two built-in cameras, two speakers and four microphones. The new Spectacles won’t be sold to the public, and will only be available to AR developers who apply to use the glasses. (Reporting by Sheila Dang; editing by Jonathan Oatis) Sign up to receive the daily top stories from the Financial Post, a division of Postmedia Network Inc. A welcome email is on its way. If you don't see it please check your junk folder. The next issue of Financial Post Top Stories will soon be in your inbox.  We encountered an issue signing you up. Please try again   Postmedia is committed to maintaining a lively but civil forum for discussion and encourage all readers to share their views on our articles. Comments may take up to an hour for moderation before appearing on the site. We ask you to keep your comments relevant and respectful. We have enabled email notifications—you will now receive an email if you receive a reply to your comment, there is an update to a comment thread you follow or if a user you follow comments. Visit our Community Guidelines for more information and details on how to adjust your email settings.  365 Bloor Street East, Toronto, Ontario, M4W 3L4  © 2021 Financial Post, a division of Postmedia Network Inc. All rights reserved. Unauthorized distribution, transmission or republication strictly prohibited.   This website uses cookies to personalize your content (including ads), and allows us to analyze our traffic. Read more about cookies here. By continuing to use our site, you agree to our Terms of Service and Privacy Policy. "
42,"Snap Inc, owner of photo messaging app Snapchat, announced Thursday it will launch a new standalone app later this year called Story Studio, with video editing tools to help users make professional-level content for mobile. Snap said it will also add a new feature to help notable Snapchat personalities earn money by allowing fans to send paid gifts on the app. The announcements, made during Snap’s annual Partner Summit for app developer and brand partners, are aimed at helping the company compete for more usage in a crowded social media landscape in which platforms like Instagram and TikTok are introducing more ways for users to earn money from creating content. Video creators have earned more than $130 million from posting on its short-form video feature called Spotlight since November, Snap added, which has paid out $1 million per day to Spotlight users. The Santa Monica, California-based company added it will introduce a camera feature called Screenshop, which for example will let users take a photo of an outfit they see, and then receive clothes recommendations from brands to recreate the look. Screenshop is part of Snap’s years-long investment to grow augmented reality technology, which it views as a way to enhance how users interact with their surroundings. Other tech companies including Facebook and Apple are also investing heavily in AR technology. (Reporting by Sheila Dang; Editing by Kirsten Donovan and Chizu Nomiyama) Sign up to receive the daily top stories from the Financial Post, a division of Postmedia Network Inc. A welcome email is on its way. If you don't see it please check your junk folder. The next issue of Financial Post Top Stories will soon be in your inbox.  We encountered an issue signing you up. Please try again   Postmedia is committed to maintaining a lively but civil forum for discussion and encourage all readers to share their views on our articles. Comments may take up to an hour for moderation before appearing on the site. We ask you to keep your comments relevant and respectful. We have enabled email notifications—you will now receive an email if you receive a reply to your comment, there is an update to a comment thread you follow or if a user you follow comments. Visit our Community Guidelines for more information and details on how to adjust your email settings.  365 Bloor Street East, Toronto, Ontario, M4W 3L4  © 2021 Financial Post, a division of Postmedia Network Inc. All rights reserved. Unauthorized distribution, transmission or republication strictly prohibited.   This website uses cookies to personalize your content (including ads), and allows us to analyze our traffic. Read more about cookies here. By continuing to use our site, you agree to our Terms of Service and Privacy Policy. "
43," This article is Presented by  Audi Canada        Episode 102 of Down to Business podcast  Across Canada, government debt is rising and is likely to continue to rise. What are the potential impacts and should we be concerned? This week, on Down to Business, Ian Lee, an associate professor of Management at Carleton University’s Sprott School of Business, offered his passionate take on why we need to watch the country’s debt. Lee has said he thinks inflation is coming, which he said would discourage saving and foster a “casino mentality.” It’s a point on which many economists might disagree with him, and he talked about that too. Listen on Apple Podcasts, Spotify, Stitcher and Google Play, where you can also subscribe to get new episodes every Wednesday morning. If you have any questions about the show, or if there are topics you want us to tackle, email us: downtobusiness@postmedia.com.   Sign up to receive the daily top stories from the Financial Post, a division of Postmedia Network Inc. A welcome email is on its way. If you don't see it please check your junk folder. The next issue of Financial Post Top Stories will soon be in your inbox.  We encountered an issue signing you up. Please try again  365 Bloor Street East, Toronto, Ontario, M4W 3L4  © 2021 Financial Post, a division of Postmedia Network Inc. All rights reserved. Unauthorized distribution, transmission or republication strictly prohibited.   This website uses cookies to personalize your content (including ads), and allows us to analyze our traffic. Read more about cookies here. By continuing to use our site, you agree to our Terms of Service and Privacy Policy. "
44,"Apple Inc on Monday began its formal defense in an antitrust trial brought by “Fortnite” online game creator Epic Games, by calling its App Store chief Phil Schiller to the stand. Schiller, who has spent three decades at the iPhone maker, is expected to spend more than 10 hours on the witness stand in federal court in Oakland, California, rebutting Epic’s allegations that Apple has monopoly over mobile developers that it abuses by requiring them to use its in-app payments system and pay commissions. Over the past two weeks, Epic’s executives and expert witnesses argued that Apple has such a strong lock on customers that the world’s more than 1 billion iPhone owners constitute their own separate market over which Apple exercises strict control. Apple and its experts have framed it differently, arguing that Epic’s complaints are related to video game transactions, a market where Apple charges a similar commission to Microsoft Corp’s Xbox and Sony Group Corp’s Playstion. But as the trial enters its final week, Schiller is shifting to the second layer of Apple’s defense: That the controls it imposes on developers are necessary to make the iPhone more private and secure, which has in turn built consumer trust and expanded the market for mobile apps. Legal experts say that is important because even if Judge Yvonne Gonzalez Rogers finds that some of Apple’s rules have anticompetitive effects, she could rule that those effects are outweighed by benefits to consumers overall. On the stand on Monday, Schiller testified that the iPhone originally did not come with any third-party apps because Apple executives felt they had no time to create a secure system for third-party developers to write them. But once the phone went on sale, developers soon started “jailbreaking” devices to put software on them, and Apple rushed to create a formal system, which later became the App Store, for third-party software. “We were very concerned this could create unreliable, unstable devices,” Schiller said of the jailbreaking phenomenon. (Reporting by Stephen Nellis in San Francisco; Editing by Richard Chang) Sign up to receive the daily top stories from the Financial Post, a division of Postmedia Network Inc. A welcome email is on its way. If you don't see it please check your junk folder. The next issue of Financial Post Top Stories will soon be in your inbox.  We encountered an issue signing you up. Please try again   Postmedia is committed to maintaining a lively but civil forum for discussion and encourage all readers to share their views on our articles. Comments may take up to an hour for moderation before appearing on the site. We ask you to keep your comments relevant and respectful. We have enabled email notifications—you will now receive an email if you receive a reply to your comment, there is an update to a comment thread you follow or if a user you follow comments. Visit our Community Guidelines for more information and details on how to adjust your email settings.  365 Bloor Street East, Toronto, Ontario, M4W 3L4  © 2021 Financial Post, a division of Postmedia Network Inc. All rights reserved. Unauthorized distribution, transmission or republication strictly prohibited.   This website uses cookies to personalize your content (including ads), and allows us to analyze our traffic. Read more about cookies here. By continuing to use our site, you agree to our Terms of Service and Privacy Policy. "
